lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
-3.3333,128.9167,amahai,id,84.96,71.0,67.5,2.71
-23.1333,150.7333,yeppoon,au,84.2,54.0,67.5,14.97
51.1167,133.0167,chegdomyn,ru,-10.68,83.0,67.5,2.08
-45.4167,167.7167,te anau,nz,63.61,63.0,92.5,8.19
-2.6741,141.3028,vanimo,pg,85.23,69.0,18.0,5.08
4.9333,-52.3333,cayenne,gf,77.0,88.0,67.5,9.75
-3.6333,32.1833,masumbwe,tz,61.38,94.0,67.5,2.24
6.0367,80.217,galle,lk,79.48,74.0,67.5,3.56
40.6576,-73.5832,freeport,us,27.3,40.0,5.0,8.05
-15.9169,-46.1056,arinos,br,68.32,83.0,5.0,2.86
-2.0226,147.2712,lorengau,pg,86.25,59.0,92.5,5.57
14.5094,-92.1933,ocos,gt,69.58,100.0,5.0,7.58
-25.1667,45.05,beloha,mg,79.52,77.0,67.5,10.74
9.45,-5.6333,korhogo,ci,64.99,25.0,5.0,3.02
60.1432,-45.2371,nanortalik,gl,21.61,89.0,5.0,10.67
48.9329,-125.5528,ucluelet,ca,39.0,90.0,92.5,9.69
46.4013,48.5409,volodarskiy,ru,33.4,80.0,67.5,8.95
12.3528,121.0676,san jose,ph,85.95,65.0,5.0,11.97
-10.0681,-78.1522,huarmey,pe,71.4,80.0,92.5,4.12
-36.8927,-60.3225,olavarria,ar,79.0,66.0,18.0,5.01
-5.1989,-35.4608,touros,br,75.2,94.0,67.5,4.61
4.8699,-2.2405,axim,gh,76.87,86.0,5.0,4.38
-25.2986,152.8535,hervey bay,au,84.2,42.0,5.0,13.8
11.2833,-15.8333,bubaque,gw,77.52,58.0,5.0,9.51
22.6783,-3.9836,taoudenni,ml,63.21,27.0,67.5,8.05
30.7,-112.0833,pitiquito,mx,48.0,63.0,5.0,3.11
51.226,-58.6502,saint-augustin,ca,34.32,88.0,92.5,18.5
57.8161,114.0028,mamakan,ru,-17.07,81.0,92.5,1.05
58.4497,92.1703,yeniseysk,ru,-40.36,79.0,67.5,4.45
71.0357,27.8492,mehamn,no,20.7,96.0,92.5,11.23
-12.0432,-77.0282,lima,pe,72.27,78.0,5.0,11.5
31.3167,-113.5333,puerto penasco,mx,57.0,69.0,5.0,8.99
66.4167,112.4,udachnyy,ru,-37.1,80.0,18.0,2.21
39.3643,-74.4229,atlantic city,us,32.0,40.0,92.5,6.91
11.2408,-74.199,santa marta,co,75.0,82.0,67.5,19.71
-34.0033,24.7314,kruisfontein,za,64.0,81.0,67.5,5.99
-5.3166,119.3661,galesong,id,82.4,83.0,37.0,3.44
-14.7833,24.8,kaoma,zm,62.64,96.0,92.5,4.09
29.5667,-104.4167,ojinaga,mx,69.8,17.0,5.0,16.11
64.3833,-173.3,provideniya,ru,3.2,72.0,5.0,8.95
-2.0833,101.3833,sungaipenuh,id,82.29,51.0,92.5,2.15
-6.2167,155.6333,kieta,pg,86.56,57.0,18.0,9.19
-28.7667,114.6,geraldton,au,74.08,55.0,37.0,12.71
